Classification,ID,observation_id,Mag,Magerr,MJD
Blazar,1002151210634128202,228210,15.3674,0.0652090633043309,53469.3222579281
Blazar,1002151210634128202,228211,15.3434,0.0649605704447119,53469.330402778
Blazar,1002151210634128202,228212,15.3722,0.0652585845572146,53469.3384979628
Blazar,1002151210634128202,228213,15.388,0.0654249879725256,53469.3466119096
Blazar,1002151210634128202,228218,15.8869,0.0650682735304912,53500.2865814003
Blazar,1002151210634128202,228219,15.9276,0.0654883946775206,53500.2930062502
Blazar,1002151210634128202,228220,15.857,0.0651398255325531,53500.2994558797
Blazar,1002151210634128202,228221,15.9065,0.0654164340114047,53500.305925069406
Blazar,1002151210634128202,228222,15.842,0.0672438429134903,53506.1894400926
Blazar,1002151210634128202,228223,15.9418,0.0677615378662874,53506.197113507005
Blazar,1002151210634128202,228224,15.8855,0.0675867204105671,53506.2047953704
Blazar,1002151210634128202,228225,15.931,0.0678515015672077,53506.2125083679
Blazar,1002151210634128202,228214,15.8417,0.0645581847898777,53733.463402812406
Blazar,1002151210634128202,228215,15.8934,0.0660900035179569,53733.46995359941
Blazar,1002151210634128202,228216,15.8849,0.0706114758891085,53733.4765683911
Blazar,1002151210634128202,228217,15.9019,0.0716421797251075,53733.493045138704
Blazar,1002151210634128202,228248,15.8833,0.0647408931004865,53739.5083066202
Blazar,1002151210634128202,228249,15.8694,0.06456658650361,53739.5175620602
Blazar,1002151210634128202,228250,15.8575,0.0644713596486915,53739.5268327775
Blazar,1002151210634128202,228251,15.8803,0.064767289667826,53739.5361009375
Blazar,1002151210634128202,228239,15.8739,0.065048530129646,53767.341008368
Blazar,1002151210634128202,228240,15.912,0.0654399499197486,53767.34924258111
Blazar,1002151210634128202,228241,15.8997,0.0652485849924986,53767.3575067595
Blazar,1002151210634128202,228242,15.8734,0.064957403179606,53767.3658309029
Blazar,1002151210634128202,228243,15.8345,0.0645766122046188,53787.425861759104
Blazar,1002151210634128202,228244,15.8509,0.0648993967746755,53787.43415453701
Blazar,1002151210634128202,228245,15.8519,0.0648957577374134,53787.4424491664
Blazar,1002151210634128202,228246,15.8875,0.0664152370568319,53787.4511833913
Blazar,1002151210634128202,228247,15.8466,0.0710590883324211,53794.40387052071
Blazar,1002151210634128202,228486,15.8745,0.0660000602890473,53794.408666817
Blazar,1002151210634128202,228487,15.8763,0.0668829572198383,53794.4162382637
Blazar,1002151210634128202,228488,15.8494,0.0664945392136024,53794.4237894444
Blazar,1002151210634128202,228489,15.8517,0.0654649838219911,53794.431346308
Blazar,1002151210634128202,228260,15.8476,0.0700003067199912,53803.2479142939
Blazar,1002151210634128202,228261,15.8747,0.0703106643975591,53803.2529163888
Blazar,1002151210634128202,228262,15.8665,0.0702117102498571,53803.257930069405
Blazar,1002151210634128202,228263,15.9153,0.0708386687423538,53803.2650907293
Blazar,1002151210634128202,228264,15.8722,0.0684971949152019,53819.277445266
Blazar,1002151210634128202,228265,15.8623,0.0662627451449354,53819.28562553231
Blazar,1002151210634128202,228266,15.8761,0.0658404467478635,53819.2937706136
Blazar,1002151210634128202,228267,15.8609,0.0660635697459455,53819.3019531947
Blazar,1002151210634128202,228226,15.8936,0.0757261182320561,53831.1908517247
Blazar,1002151210634128202,228227,15.8484,0.0675387979670294,53832.3707187386
Blazar,1002151210634128202,228228,15.8518,0.0676591706632714,53832.3802650465
Blazar,1002151210634128202,228229,15.8594,0.0677202598029551,53832.3898093864
Blazar,1002151210634128202,228230,15.8736,0.0679375257759007,53832.3993571993
Blazar,1002151210634128202,228231,15.8662,0.0655666736605906,53851.1605427084
Blazar,1002151210634128202,228232,15.8461,0.0654717514263226,53851.1673108679
Blazar,1002151210634128202,228233,15.8795,0.06574531405374,53851.1741297222
Blazar,1002151210634128202,228234,15.8384,0.0652617669607056,53851.18096606481
Blazar,1002151210634128202,228268,15.8255,0.0655013675614053,53859.2191852313
Blazar,1002151210634128202,228269,15.8712,0.0660047147665674,53859.226163125095
Blazar,1002151210634128202,228270,15.8148,0.0654501702517969,53859.2330847569
Blazar,1002151210634128202,228271,15.8254,0.0654591083807604,53859.2400192479
Blazar,1002151210634128202,228272,15.8621,0.0655181522722576,53878.2361366549
Blazar,1002151210634128202,228273,15.8489,0.0654988251918211,53878.2436158564
Blazar,1002151210634128202,228274,15.8262,0.0652021595455306,53878.251109398
Blazar,1002151210634128202,228275,15.8374,0.0653722736713842,53878.258574583095
Blazar,1002151210634128202,228276,15.8323,0.0654526944408444,53885.170618529904
Blazar,1002151210634128202,228277,15.8444,0.0655758356255206,53885.1798434141
Blazar,1002151210634128202,228278,15.8458,0.0656520405035069,53885.1890341551
Blazar,1002151210634128202,228279,15.8513,0.0657098068446762,53885.1982489582
