Classification,ID,observation_id,Mag,Magerr,MJD
YSO?,1410011230234143194,402204,18.4742,0.1676821873731269,55951.203712546296
YSO?,1410011230234143194,402205,18.217,0.14987569371118,55951.212077673496
YSO?,1410011230234143194,402206,19.4782,0.214285469322301,55951.2205240741
YSO?,1410011230234143194,402207,18.5731,0.169661701307465,55853.50070100701
YSO?,1410011230234143194,402208,18.403,0.1583875709739819,53638.4905475462
YSO?,1410011230234143194,402209,18.3597,0.154725524219992,54351.4847395718
YSO?,1410011230234143194,402212,18.5925,0.169809285446355,54081.3498033332
YSO?,1410011230234143194,402211,19.0474,0.195416649568598,55585.2782546876
YSO?,1410011230234143194,402215,18.4397,0.160634325374141,55888.3146504168
YSO?,1410011230234143194,402213,18.7817,0.1825750297570089,54386.3219351275
YSO?,1410011230234143194,402214,18.7373,0.184575699391197,55827.49292396991
YSO?,1410011230234143194,402203,19.4975,0.244545582354431,55585.263772442304
YSO?,1410011230234143194,402216,18.5903,0.181313098508078,54050.3511344675
YSO?,1410011230234143194,402210,19.0897,0.208691484541185,54438.2380668172
YSO?,1410011230234143194,402202,19.4474,0.211046949565359,55572.2056423496
YSO?,1410011230234143194,402192,19.0363,0.173413476349418,54940.1288616667
YSO?,1410011230234143194,402200,18.3302,0.153224463289448,53754.2018994559
YSO?,1410011230234143194,402217,19.0816,0.177090043064247,55126.438854815
YSO?,1410011230234143194,402186,18.5053,0.167259367518718,54351.4793323609
YSO?,1410011230234143194,402187,18.1428,0.1468708009030269,54562.1241730438
YSO?,1410011230234143194,402188,18.7741,0.154107667853162,55232.0904901968
YSO?,1410011230234143194,402189,18.5525,0.167857361062719,54351.490148067
YSO?,1410011230234143194,402190,19.1313,0.181248053022434,54771.34993187481
YSO?,1410011230234143194,402201,19.8497,0.258882356858883,55537.2743107174
YSO?,1410011230234143194,402191,18.6955,0.148933296644923,54771.364309676
YSO?,1410011230234143194,402194,18.8136,0.156817585498343,55130.3178531597
YSO?,1410011230234143194,402195,19.2733,0.1675325374116719,55621.1643075811
YSO?,1410011230234143194,402196,18.3872,0.138659724686454,56255.2208189697
YSO?,1410011230234143194,402197,18.1235,0.141711121064693,56590.3465701505
YSO?,1410011230234143194,402198,18.4942,0.1785742469192139,53648.388882882005
YSO?,1410011230234143194,402199,18.8825,0.2020354932351119,53695.3428790276
YSO?,1410011230234143194,402193,19.1837,0.185773936650751,55126.4218841437
YSO?,1410011230234143194,402218,19.2862,0.1950844967730899,55126.4331670138
YSO?,1410011230234143194,402040,18.657,0.1719407585667769,54503.23171400469
YSO?,1410011230234143194,402220,18.3839,0.1579121083237099,55880.459265081205
YSO?,1410011230234143194,402185,18.8351,0.20602156587795,53732.1763026621
YSO?,1410011230234143194,402250,18.2033,0.1474426772015269,56007.1362668867
YSO?,1410011230234143194,402249,18.4281,0.231141676650744,56194.398415787
YSO?,1410011230234143194,402248,18.3099,0.152651594757063,55880.4540858567
YSO?,1410011230234143194,402247,18.9753,0.202050948939008,54464.2639231021
YSO?,1410011230234143194,402246,18.8147,0.1654845535185519,56255.2255530091
YSO?,1410011230234143194,402245,19.5657,0.28104950558237,55527.45006206
YSO?,1410011230234143194,402244,19.2191,0.188929177724601,54732.4938882059
YSO?,1410011230234143194,402243,18.7151,0.182397704026884,56330.143323021
YSO?,1410011230234143194,402242,18.7815,0.192730051028353,55827.485007986
YSO?,1410011230234143194,402241,19.4511,0.16271072765281,55656.13495067151
YSO?,1410011230234143194,402240,19.6339,0.2914596682367119,55063.4694118981
YSO?,1410011230234143194,402239,19.0087,0.209762844299991,56563.4254359608
YSO?,1410011230234143194,402238,17.5852,0.1178712075446049,56018.1162752546
YSO?,1410011230234143194,402237,19.4093,0.178358190960387,55621.1869015739
YSO?,1410011230234143194,402236,19.0844,0.177311042488587,55130.33483998849
YSO?,1410011230234143194,402235,18.3482,0.14997674586729,54024.3631288656
YSO?,1410011230234143194,402221,18.8603,0.195319582000596,55929.1353798728
YSO?,1410011230234143194,402222,18.8445,0.192070419129212,56570.455808796505
